,0
0,erzin
1,mbekenyera
2,busselton
3,thompson
4,road town
5,mar del plata
6,dikson
7,illoqqortoormiut
8,iranshahr
9,yellowknife
10,ushuaia
11,ouidah
12,mataura
13,hobart
14,barentsburg
15,punta arenas
16,iqaluit
17,desbiens
18,laje
19,snasa
20,zachepylivka
21,porto novo
22,rosita
23,muros
24,fortuna
25,mahebourg
26,east london
27,khatanga
28,rikitea
29,avarua
30,usolye-sibirskoye
31,kachug
32,codrington
33,semnan
34,bethel
35,pisco
36,rio gallegos
37,georgetown
38,hithadhoo
39,kaitangata
40,barrow
41,delmas
42,victoria point
43,nam tha
44,verkh-usugli
45,karaul
46,san quintin
47,nizhneyansk
48,albany
49,alofi
50,longyearbyen
51,san patricio
52,williamsport
53,dole
54,hilo
55,taolanaro
56,jamestown
57,makakilo city
58,bagdarin
59,nanortalik
60,batagay
61,sakakah
62,saint anthony
63,port elizabeth
64,hambantota
65,san andres
66,wasilla
67,kapaa
68,qaanaaq
69,esperance
70,lompoc
71,sabha
72,karasjok
73,mvuma
74,carnarvon
75,reutlingen
76,torbay
77,katsuura
78,phuket
79,royken
80,upernavik
81,tabou
82,halalo
83,dunedin
84,magistralnyy
85,shache
86,raga
87,butaritari
88,bikaner
89,lata
90,kodiak
91,tiksi
92,bonfim
93,yumen
94,castro
95,airai
96,port lincoln
97,gimli
98,chernyshevskiy
99,masunga
100,goulburn
101,lincoln
102,bengkulu
103,port alfred
104,wagga wagga
105,berlevag
106,zyryanka
107,bluff
108,shahrud
109,yar-sale
110,bambous virieux
111,jesus del monte
112,vaitupu
113,palaikastron
114,vakhrushevo
115,sechura
116,tilichiki
117,namibe
118,puerto ayora
119,lebu
120,tuktoyaktuk
121,cherskiy
122,chimbote
123,bredasdorp
124,acapulco
125,lagos
126,nikolskoye
127,mandurah
128,corinto
129,umzimvubu
130,banda aceh
131,amahai
132,svetlyy
133,provideniya
134,constitucion
135,atuona
136,anadyr
137,hasaki
138,prince rupert
139,saint-philippe
140,vardo
141,arraial do cabo
142,pringsewu
143,grand river south east
144,luocheng
145,trelew
146,salvador
147,steamboat springs
148,barabai
149,tarko-sale
150,ambilobe
151,kysyl-syr
152,new norfolk
153,margate
154,havre-saint-pierre
155,auchi
156,tosagua
157,luanda
158,castiglione delle stiviere
159,pochutla
160,chumikan
161,lake havasu city
162,sabang
163,lolua
164,vaini
165,mehamn
