,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
0,Erzin,84,TR,1588217084,89,36.96,36.2,64.0,0.43
1,Mbekenyera,100,TZ,1588217173,87,-10.0,38.98,70.2,2.91
2,Busselton,0,AU,1588217050,33,-33.65,115.33,63.73,12.68
3,Thompson,75,CA,1588217057,56,55.74,-97.86,44.6,10.29
4,Road Town,90,VG,1588216882,94,18.42,-64.62,77.11,8.05
5,Mar del Plata,40,AR,1588216942,82,-38.0,-57.56,58.08,9.17
6,Dikson,100,RU,1588217048,94,73.51,80.55,21.38,9.73
7,Iranshahr,0,IR,1588217174,27,27.2,60.68,78.8,4.7
8,Yellowknife,40,CA,1588217174,69,62.46,-114.35,39.2,11.41
9,Ushuaia,90,AR,1588217174,81,-54.8,-68.3,44.6,4.07
10,Ouidah,20,BJ,1588217174,100,6.36,2.09,78.8,3.36
11,Mataura,97,NZ,1588217174,62,-46.19,168.86,62.01,11.01
12,Hobart,75,AU,1588217174,67,-42.88,147.33,57.54,4.7
13,Punta Arenas,100,CL,1588217166,93,-53.15,-70.92,39.09,8.05
14,Iqaluit,75,CA,1588217175,92,63.75,-68.51,26.29,10.29
15,Desbiens,90,CA,1588217175,56,48.42,-71.95,42.8,9.17
16,Laje,31,BR,1588217175,76,-10.18,-40.97,66.33,6.8
17,Snåase,6,NO,1588216924,92,64.25,12.38,28.89,5.95
18,Zachepylivka,0,UA,1588217175,73,49.19,35.24,45.79,8.21
19,Porto-Novo,20,BJ,1588217176,100,6.5,2.6,78.8,3.36
20,Rosita,26,NI,1588217176,84,13.93,-84.4,72.21,2.28
21,Muros,100,ES,1588217176,81,42.78,-9.06,57.99,25.99
22,Fortuna,1,US,1588217097,100,40.6,-124.16,56.61,9.17
23,Mahébourg,75,MU,1588217176,78,-20.41,57.7,75.2,12.75
24,East London,0,ZA,1588217176,93,-33.02,27.91,53.6,8.05
25,Khatanga,78,RU,1588217176,96,71.97,102.5,16.14,4.63
26,Rikitea,86,PF,1588217044,85,-23.12,-134.97,79.3,11.9
27,Avarua,79,CK,1588217052,73,-21.21,-159.78,77.0,6.93
28,Usol'ye-Sibirskoye,100,RU,1588217177,44,52.75,103.65,69.78,9.91
29,Kachug,100,RU,1588217177,45,53.96,105.88,65.53,19.48
30,Codrington,58,AU,1588217061,78,-38.27,141.97,50.77,22.17
31,Semnan,100,IR,1588217177,36,35.57,53.4,60.57,6.46
32,Bethel,90,US,1588217177,70,41.37,-73.41,46.04,13.87
